Description,Gene,LB_copies_per_cell,LB_coef_of_var
Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2,rng,98,5.05
Potassium efflux system KefA OS=Escherichia coli (strain K12) GN=kefA PE=1 SV=1,mscK,16,20.43
Virulence factor mviM homolog OS=Escherichia coli (strain K12) GN=mviM PE=1 SV=1,yceM,23,23.05
Uncharacterized protein yeaK OS=Escherichia coli (strain K12) GN=yeaK PE=4 SV=1,yeaK,562,23.85
Uncharacterized ABC transporter ATP-binding protein YdcT OS=Escherichia coli (strain K12) GN=ydcT PE=3 SV=1,ydcT,38,9.12
Probable acetyl-CoA acetyltransferase OS=Escherichia coli (strain K12) GN=yqeF PE=3 SV=2,yqeF,113,5.93
Transposase insH for insertion sequence element IS5-13 OS=Escherichia coli (strain K12) GN=JW5895 PE=3 SV=1,JW58,133,21.76
Hydrogenase isoenzymes nickel incorporation protein hypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1,hypB,64,20.05
Uncharacterized tRNA/rRNA methyltransferase LasT OS=Escherichia coli (strain K12) GN=lasT PE=3 SV=2,lasT,100,0.86
D-galactarate dehydratase OS=Escherichia coli (strain K12) GN=garD PE=1 SV=2,garD,266,14.25
Putative aminopeptidase sgcX OS=Escherichia coli (strain K12) GN=sgcX PE=3 SV=3,sgcX,6,30.64
Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1,alaA,105,10.31
Uncharacterized protein yagE OS=Escherichia coli (strain K12) GN=yagE PE=1 SV=1,yagE,737,5.22
Glycine betaine/L-proline transport ATP-binding protein ProV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1,proV,1187,34.92
2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) GN=garR PE=1 SV=1,garR,770,38.07
N-ethylmaleimide reductase OS=Escherichia coli (strain K12) GN=nemA PE=1 SV=1,nemA,196,6.96
Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2,cfa,96,4.57
Type I restriction enzyme EcoKI R protein OS=Escherichia coli (strain K12) GN=hsdR PE=3 SV=3,hsdR,36,8.26
Gamma-glutamyl-gamma-aminobutyrate hydrolase OS=Escherichia coli (strain K12) GN=puuD PE=4 SV=1,puuD,30,10.29
D-galactonate dehydratase OS=Escherichia coli (strain K12) GN=dgoD PE=1 SV=1,dgoD,13,36.10
N-acetylmannosamine kinase OS=Escherichia coli (strain K12) GN=nanK PE=1 SV=2,nanK,561,31.03
Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1,fdoH,800,57.64
Phosphatase YbhA OS=Escherichia coli (strain K12) GN=ybhA PE=3 SV=3,ybhA,593,0.87
DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1,hupA,278633,5.69
30S ribosomal protein S16 OS=Escherichia coli (strain K12) GN=rpsP PE=1 SV=1,rpsP,136596,7.99
50S ribosomal protein L16 OS=Escherichia coli (strain K12) GN=rplP PE=1 SV=1,rplP,98439,8.69
30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2,rpsT,74646,4.13
Putative NAD(P)H nitroreductase ydjA OS=Escherichia coli (strain K12) GN=ydjA PE=1 SV=1,ydjA,2523,1.66
30S ribosomal protein S11 OS=Escherichia coli (strain K12) GN=rpsK PE=1 SV=2,rpsK,24642,4.62
Glutaredoxin-3 OS=Escherichia coli (strain K12) GN=grxC PE=1 SV=2,grxC,8387,11.97
50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1,rplU,19424,7.31
Ribosome-associated inhibitor A OS=Escherichia coli (strain K12) GN=raiA PE=1 SV=2,raiA,14293,7.04
50S ribosomal protein L18 OS=Escherichia coli (strain K12) GN=rplR PE=1 SV=1,rplR,13821,3.70
30S ribosomal protein S12 OS=Escherichia coli (strain K12) GN=rpsL PE=1 SV=2,rpsL,7473,8.02
N5-carboxyaminoimidazole ribonucleotide mutase OS=Escherichia coli (strain K12) GN=purE PE=1 SV=2,purE,719,1.76
UPF0082 protein yeeN OS=Escherichia coli (strain K12) GN=yeeN PE=1 SV=1,yeeN,4718,34.14
Universal stress protein D OS=Escherichia coli (strain K12) GN=uspD PE=2 SV=1,uspD,403,21.18
HTH-type transcriptional regulator gntR OS=Escherichia coli (strain K12) GN=gntR PE=1 SV=1,gntR,972,8.70
HIT-like protein hinT OS=Escherichia coli (strain K12) GN=hinT PE=1 SV=1,hinT,2825,1.60
Nucleoside-specific channel-forming protein tsx OS=Escherichia coli (strain K12) GN=tsx PE=1 SV=1,tsx,9242,3.47
Lactoylglutathione lyase OS=Escherichia coli (strain K12) GN=gloA PE=1 SV=1,gloA,1925,7.49
Uncharacterized protein yibL OS=Escherichia coli (strain K12) GN=yibL PE=1 SV=1,yibL,1540,9.77
Protein yebR OS=Escherichia coli (strain K12) GN=yebR PE=1 SV=2,msrC,1180,2.30
Peptide methionine sulfoxide reductase msrA OS=Escherichia coli (strain K12) GN=msrA PE=1 SV=2,msrA,730,10.53
Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1,ybaK,761,14.56
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase OS=Escherichia coli (strain K12) GN=ispF PE=1 SV=1",ispF,4893,0.93
"Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) GN=ynhG PE=1 SV=1",ynhG,375,20.00
Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3,prmB,1400,7.14
Protein hfq OS=Escherichia coli (strain K12) GN=hfq PE=1 SV=2,hfq,2273,5.95
Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) GN=hisI PE=3 SV=3,hisI,432,5.25
Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1,rcsF,910,3.18
Outer-membrane lipoprotein carrier protein OS=Escherichia coli (strain K12) GN=lolA PE=1 SV=1,lolA,1385,5.56
Glutaredoxin-4 OS=Escherichia coli (strain K12) GN=grxD PE=1 SV=1,grxD,6032,2.37
Phosphatase YfbT OS=Escherichia coli (strain K12) GN=yfbT PE=1 SV=2,yfbT,1166,3.10
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1,lpxA,1486,6.42
Tellurite resistance protein TehB OS=Escherichia coli (strain K12) GN=tehB PE=1 SV=1,tehB,236,2.92
UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2,ybhB,180,3.57
Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) GN=glnB PE=1 SV=1,glnB,2123,11.15
Uncharacterized protein yceD OS=Escherichia coli (strain K12) GN=yceD PE=4 SV=1,yceD,2268,10.85
"D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2",folX,1899,3.69
Trans-aconitate 2-methyltransferase OS=Escherichia coli (strain K12) GN=tam PE=1 SV=3,tam,243,8.77
Peptide deformylase OS=Escherichia coli (strain K12) GN=def PE=1 SV=2,def,1542,18.27
Protein tldD OS=Escherichia coli (strain K12) GN=tldD PE=1 SV=1,tldD,472,9.77
Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1,prmA,449,9.01
FhuE receptor OS=Escherichia coli (strain K12) GN=fhuE PE=1 SV=2,fhuE,13,26.87
UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=mpl PE=1 SV=3,mpl,705,5.54
Molybdopterin synthase catalytic subunit OS=Escherichia coli (strain K12) GN=moaE PE=1 SV=3,moaE,485,8.74
Protein glcG OS=Escherichia coli (strain K12) GN=glcG PE=3 SV=1,glcG,460,12.14
Uncharacterized oxidoreductase ygjR OS=Escherichia coli (strain K12) GN=ygjR PE=3 SV=3,ygjR,299,18.44
Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1,nlpI,265,5.73
Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1,pliG,204,9.24
Dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=bioD PE=1 SV=3,bioD,127,8.36
SsrA-binding protein OS=Escherichia coli (strain K12) GN=smpB PE=1 SV=2,smpB,603,1.83
Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1,proX,10094,9.20
Probable phospholipid-binding lipoprotein mlaA OS=Escherichia coli (strain K12) GN=mlaA PE=1 SV=1,mlaA,717,3.68
tRNA threonylcarbamoyladenosine biosynthesis protein RimN OS=Escherichia coli (strain K12) GN=rimN PE=1 SV=2,tsaC,727,13.83
Probable phosphoribulokinase OS=Escherichia coli (strain K12) GN=prkB PE=3 SV=1,prkB,155,4.50
UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1,tsaE,926,6.04
Fructokinase OS=Escherichia coli (strain K12) GN=mak PE=1 SV=2,mak,268,2.34
Ribosomal RNA small subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rsmG PE=1 SV=1,rsmG,716,9.90
Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1,ycbL,732,7.41
Iron-sulfur cluster repair protein YtfE OS=Escherichia coli (strain K12) GN=ytfE PE=1 SV=1,ytfE,70,29.09
RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1,rpoE,565,4.89
Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1,folA,571,7.67
Putative osmoprotectant uptake system substrate-binding protein osmF OS=Escherichia coli (strain K12) GN=osmF PE=2 SV=1,osmF,76,7.25
Uncharacterized protein YidR OS=Escherichia coli (strain K12) GN=yidR PE=4 SV=4,yidR,63,26.69
S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1,queA,893,6.12
D-ribose pyranase OS=Escherichia coli (strain K12) GN=rbsD PE=1 SV=3,rbsD,701,7.73
Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1,yciE,177,9.96
UPF0189 protein ymdB OS=Escherichia coli (strain K12) GN=ymdB PE=1 SV=1,ymdB,73,2.17
Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2,mtfA,790,3.20
UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1,ybhG,173,13.07
UPF0229 protein yeaH OS=Escherichia coli (strain K12) GN=yeaH PE=3 SV=1,yeaH,29,10.78
Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4,fpr,194,3.26
Phosphatase yihX OS=Escherichia coli (strain K12) GN=yihX PE=1 SV=1,yihX,331,7.91
UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2,zapD,554,4.86
Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2,frdB,592,31.79
Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2,ybaL,195,3.77
Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2,pcm,255,11.36
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Escherichia coli (strain K12) GN=ispE PE=1 SV=1,ispE,161,3.33
Uncharacterized protein ycgM OS=Escherichia coli (strain K12) GN=ycgM PE=1 SV=1,ycgM,101,40.29
Protein yiiM OS=Escherichia coli (strain K12) GN=yiiM PE=1 SV=2,yiiM,67,18.16
HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1,allR,179,2.92
Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1,rsmA,451,0.26
Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2,wzzE,300,21.42
NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2,nudC,133,4.46
Helicase IV OS=Escherichia coli (strain K12) GN=helD PE=1 SV=2,helD,61,5.19
7-cyano-7-deazaguanine synthase OS=Escherichia coli (strain K12) GN=queC PE=1 SV=1,queC,551,4.18
Putative Lon protease homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1,ycbZ,106,4.64
Uncharacterized protein ydcY OS=Escherichia coli (strain K12) GN=ydcY PE=4 SV=1,ydcY,533,3.20
8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) GN=bioF PE=1 SV=1,bioF,98,6.87
Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1,nupC,682,10.31
ATPase ravA OS=Escherichia coli (strain K12) GN=ravA PE=1 SV=2,ravA,59,24.18
Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2,hisP,26,6.31
Uncharacterized protein yggN OS=Escherichia coli (strain K12) GN=yggN PE=4 SV=1,yggN,314,7.17
Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1,rseB,100,1.82
Small heat shock protein ibpA OS=Escherichia coli (strain K12) GN=ibpA PE=1 SV=1,ibpA,2639,7.73
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3,murG,133,26.73
UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4,wecC,336,6.25
Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1,degS,44,14.48
Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2,xseA,35,13.37
Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1,yejM,46,14.35
Inner membrane metabolite transport protein yhjE OS=Escherichia coli (strain K12) GN=yhjE PE=1 SV=1,yhjE,92,8.77
Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2,ppiC,1976,3.74
Macrolide-specific efflux protein macA OS=Escherichia coli (strain K12) GN=macA PE=1 SV=2,macA,26,1.84
Aerobic C4-dicarboxylate transport protein OS=Escherichia coli (strain K12) GN=dctA PE=1 SV=1,dctA,623,13.96
Regulator of sigma D OS=Escherichia coli (strain K12) GN=rsd PE=1 SV=1,rsd,370,1.91
Oxygen-independent coproporphyrinogen-III oxidase OS=Escherichia coli (strain K12) GN=hemN PE=1 SV=4,hemN,139,17.11
Putative membrane protein igaA homolog OS=Escherichia coli (strain K12) GN=yrfF PE=1 SV=1,yrfF,70,9.09
Phosphoethanolamine transferase CptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1,eptC,54,17.10
Uncharacterized protein yecJ OS=Escherichia coli (strain K12) GN=yecJ PE=4 SV=1,yecJ,956,7.75
Protoporphyrinogen IX dehydrogenase [menaquinone] OS=Escherichia coli (strain K12) GN=hemG PE=1 SV=1,hemG,250,14.96
Uncharacterized protein yefI OS=Escherichia coli (strain K12) GN=yefI PE=4 SV=1,wbbK,178,8.55
7-carboxy-7-deazaguanine synthase homolog OS=Escherichia coli (strain K12) GN=ygcF PE=1 SV=1,queE,620,1.70
Class B acid phosphatase OS=Escherichia coli (strain K12) GN=aphA PE=1 SV=1,aphA,1679,7.79
DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3,parE,100,7.05
Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1,yjaG,165,15.22
Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2,asmA,41,11.06
L-aspartate oxidase OS=Escherichia coli (strain K12) GN=nadB PE=1 SV=4,nadB,9,2.62
Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1,narP,816,6.61
Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1,puuE,8,34.68
Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3,nrdE,8,16.63
Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2,apaH,92,9.83
Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2,ung,194,18.10
Uncharacterized protein yebT OS=Escherichia coli (strain K12) GN=yebT PE=1 SV=2,yebT,20,11.91
N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli (strain K12) GN=murQ PE=1 SV=1,murQ,417,20.82
Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2,emrA,139,8.68
Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2,nrdD,52,6.50
"dTDP-glucose 4,6-dehydratase 2 OS=Escherichia coli (strain K12) GN=rffG PE=1 SV=3",rffG,143,12.08
Chromosome partition protein mukE OS=Escherichia coli (strain K12) GN=mukE PE=1 SV=5,mukE,683,6.32
Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2,lpxB,64,23.29
Biotin sulfoxide reductase OS=Escherichia coli (strain K12) GN=bisC PE=3 SV=3,bisC,14,11.35
Arabinose 5-phosphate isomerase OS=Escherichia coli (strain K12) GN=kdsD PE=1 SV=1,kdsD,159,6.36
Uncharacterized protein ybiU OS=Escherichia coli (strain K12) GN=ybiU PE=1 SV=1,ybiU,46,18.34
Uncharacterized protein YeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2,yeiR,92,9.48
Mhp operon transcriptional activator OS=Escherichia coli (strain K12) GN=mhpR PE=4 SV=2,mhpR,128,9.73
Periplasmic protein CpxP OS=Escherichia coli (strain K12) GN=cpxP PE=1 SV=1,cpxP,126,16.91
UPF0176 protein yceA OS=Escherichia coli (strain K12) GN=yceA PE=2 SV=2,yceA,38,15.29
Anaerobic dimethyl sulfoxide reductase chain A OS=Escherichia coli (strain K12) GN=dmsA PE=1 SV=2,dmsA,9,15.02
D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1,alsB,173,32.03
Phosphate import ATP-binding protein PstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2,pstB,183,26.83
Hemolysin expression-modulating protein OS=Escherichia coli (strain K12) GN=hha PE=1 SV=1,hha,237,4.38
"Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli (strain K12) GN=zntA PE=1 SV=1",zntA,77,12.53
Nitrogen regulation protein NR(II) OS=Escherichia coli (strain K12) GN=glnL PE=1 SV=1,glnL,15,13.97
Phosphatase YqaB OS=Escherichia coli (strain K12) GN=yqaB PE=1 SV=1,yqaB,345,8.10
Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1,ftsI,26,23.49
Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2,acpP,45220,4.80
30S ribosomal protein S15 OS=Escherichia coli (strain K12) GN=rpsO PE=1 SV=2,rpsO,60729,5.03
Uncharacterized protein yqjD OS=Escherichia coli (strain K12) GN=yqjD PE=4 SV=1,yqjD,7755,6.00
Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1,ybaY,1904,11.70
Uncharacterized protein YahO OS=Escherichia coli (strain K12) GN=yahO PE=3 SV=1,yahO,1885,5.21
50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1,rpmC,119802,12.54
Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2,cspC,117057,1.77
DNA-binding protein HU-beta OS=Escherichia coli (strain K12) GN=hupB PE=1 SV=1,hupB,80032,2.41
Acidic protein msyB OS=Escherichia coli (strain K12) GN=msyB PE=4 SV=1,msyB,1792,5.44
Protein hdeB OS=Escherichia coli (strain K12) GN=hdeB PE=1 SV=1,hdeB,457,9.56
50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2,rpmA,59704,4.14
50S ribosomal protein L33 OS=Escherichia coli (strain K12) GN=rpmG PE=1 SV=2,rpmG,66457,2.07
50S ribosomal protein L32 OS=Escherichia coli (strain K12) GN=rpmF PE=1 SV=2,rpmF,68790,3.00
30S ribosomal protein S17 OS=Escherichia coli (strain K12) GN=rpsQ PE=1 SV=2,rpsQ,28222,20.00
UPF0337 protein yjbJ OS=Escherichia coli (strain K12) GN=yjbJ PE=1 SV=1,yjbJ,1729,20.20
Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1,yagU,1554,9.13
Cell division protein ZipA OS=Escherichia coli (strain K12) GN=zipA PE=1 SV=3,zipA,1587,11.18
Probable sigma(54) modulation protein OS=Escherichia coli (strain K12) GN=yhbH PE=1 SV=1,hpf,1991,5.39
30S ribosomal protein S14 OS=Escherichia coli (strain K12) GN=rpsN PE=1 SV=2,rpsN,22731,11.08
Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1,mscL,1658,5.25
50S ribosomal protein L20 OS=Escherichia coli (strain K12) GN=rplT PE=1 SV=2,rplT,11237,7.46
GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2,nudK,5183,5.87
Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) GN=rraA PE=1 SV=1,rraA,1921,8.47
Glutaminase 1 OS=Escherichia coli (strain K12) GN=glsA1 PE=1 SV=1,glsA,47,9.41
Protein yciI OS=Escherichia coli (strain K12) GN=yciI PE=1 SV=1,yciI,1702,2.61
Putative monooxygenase ydhR OS=Escherichia coli (strain K12) GN=ydhR PE=1 SV=1,ydhR,2070,3.66
Uncharacterized protein yccJ OS=Escherichia coli (strain K12) GN=yccJ PE=4 SV=1,yccJ,4132,24.93
Translation initiation factor IF-1 OS=Escherichia coli (strain K12) GN=infA PE=1 SV=2,infA,9064,9.34
RutC family protein yoaB OS=Escherichia coli (strain K12) GN=yoaB PE=3 SV=1,yoaB,1764,5.56
Penicillin-binding protein activator LpoB OS=Escherichia coli (strain K12) GN=lpoB PE=1 SV=1,lpoB,843,3.59
50S ribosomal protein L23 OS=Escherichia coli (strain K12) GN=rplW PE=1 SV=1,rplW,4678,2.72
Uncharacterized protein yjbR OS=Escherichia coli (strain K12) GN=yjbR PE=1 SV=1,yjbR,592,8.52
Protein ychN OS=Escherichia coli (strain K12) GN=ychN PE=1 SV=1,ychN,2386,38.38
Arginine transport ATP-binding protein ArtP OS=Escherichia coli (strain K12) GN=artP PE=1 SV=1,artP,853,3.25
Uncharacterized lipoprotein yceB OS=Escherichia coli (strain K12) GN=yceB PE=1 SV=1,yceB,567,4.38
LPS-assembly lipoprotein lptE OS=Escherichia coli (strain K12) GN=lptE PE=1 SV=1,lptE,368,4.86
Rare lipoprotein A OS=Escherichia coli (strain K12) GN=rlpA PE=1 SV=1,rlpA,727,12.53
Cold shock-like protein CspE OS=Escherichia coli (strain K12) GN=cspE PE=1 SV=2,cspE,43365,3.77
Uncharacterized N-acetyltransferase YhbS OS=Escherichia coli (strain K12) GN=yhbS PE=3 SV=1,yhbS,1170,17.37
Protein tas OS=Escherichia coli (strain K12) GN=tas PE=1 SV=1,tas,241,8.20
Glycerol uptake facilitator protein OS=Escherichia coli (strain K12) GN=glpF PE=1 SV=1,glpF,629,28.71
tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmB PE=1 SV=1,trmB,895,19.20
Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=ugpQ PE=1 SV=1,ugpQ,181,4.60
Cell division protein ZapA OS=Escherichia coli (strain K12) GN=zapA PE=1 SV=1,zapA,1232,5.44
Acyl-CoA thioesterase 2 OS=Escherichia coli (strain K12) GN=tesB PE=1 SV=2,tesB,273,3.60
Acylphosphatase OS=Escherichia coli (strain K12) GN=yccX PE=1 SV=1,yccX,153,31.79
Nickel-responsive regulator OS=Escherichia coli (strain K12) GN=nikR PE=1 SV=1,nikR,642,13.41
Uncharacterized amino-acid ABC transporter ATP-binding protein YecC OS=Escherichia coli (strain K12) GN=yecC PE=3 SV=2,yecC,160,6.08
"Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2",erfK,74,7.22
Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2,xseB,1353,8.64
Uncharacterized lipoprotein yeaY OS=Escherichia coli (strain K12) GN=yeaY PE=4 SV=1,yeaY,108,8.35
Phosphoglycolate phosphatase OS=Escherichia coli (strain K12) GN=gph PE=1 SV=1,gph,882,2.44
UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1,yaeP,2418,5.34
Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1,gloB,278,13.81
Uncharacterized protein yaiA OS=Escherichia coli (strain K12) GN=yaiA PE=1 SV=1,yaiA,252,3.80
Uncharacterized sufE-like protein ygdK OS=Escherichia coli (strain K12) GN=ygdK PE=1 SV=1,csdE,222,18.32
"1,4-alpha-glucan-branching enzyme OS=Escherichia coli (strain K12) GN=glgB PE=1 SV=1",glgB,105,1.53
Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1,tolQ,378,3.78
"D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1",gmhB,297,10.03
FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2,fkpB,2785,22.92
Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) GN=purN PE=1 SV=1,purN,542,12.81
Uncharacterized protein ycdY OS=Escherichia coli (strain K12) GN=ycdY PE=3 SV=1,ycdY,538,2.34
Protease HtpX OS=Escherichia coli (strain K12) GN=htpX PE=1 SV=1,htpX,539,10.89
Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1,nanR,202,13.76
Thymidylate synthase OS=Escherichia coli (strain K12) GN=thyA PE=1 SV=1,thyA,728,4.23
Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2,dsbG,203,2.00
Ribosomal RNA small subunit methyltransferase B OS=Escherichia coli (strain K12) GN=rsmB PE=1 SV=2,rsmB,203,9.03
Serine/threonine transporter sstT OS=Escherichia coli (strain K12) GN=sstT PE=1 SV=1,sstT,120,15.79
Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1,qorB,131,37.77
Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2,gcvR,214,7.11
Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1,fnr,1101,10.26
Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2,pdxK,222,13.11
Uncharacterized protein yicH OS=Escherichia coli (strain K12) GN=yicH PE=4 SV=2,yicH,129,3.60
Uncharacterized protein yeaO OS=Escherichia coli (strain K12) GN=yeaO PE=1 SV=2,yeaO,198,9.32
